"","track_name","artist","year","track_uri","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"36","Gangsta's Paradise","Coolio featuring L.V.","1995","6VQyQHqEiDLG5cAPjoBPL9","0.641","0.63","-6.393","0.0521","0.0372","0","0.4","0.415","79.955","241933"
"37","Macarena (Bayside Boys Mix)","Los del Río","1996","7obdw7ZGr6l1GqSBkFiY11","0.741","0.868","-8.589","0.0527","0.249","2.19e-06","0.0945","0.953","103.201","251797"
"38","Something About the Way You Look Tonight / Candle in the Wind 1997","Elton John","1997","5LjSxAIKwyZvQqJ04ZQ0Da","0.465","0.653","-7.613","0.0266","0.163","2.67e-05","0.079","0.529","143.507","240547"
"39","Too Close","Next","1998","5IFCyWplye09HytIP80RCF","0.847","0.402","-9.952","0.0641","0.0118","0","0.283","0.741","99.693","259440"
"40","Believe","Cher","1999","2goLsvvODILDzeeiT4dAoR","0.652","0.917","-6.72","0.0548","0.0082","0","0.0509","0.451","132.975","239027"
"41","Breathe","Faith Hill","2000","3y4LxiYMgDl4RethdzpmNe","0.529","0.496","-9.007","0.029","0.173","0","0.251","0.276","136.859","250547"
"42","Hanging by a Moment","Lifehouse","2001","0wqOReZDnrefefEsrIGeR4","0.531","0.855","-4.95","0.0352","0.000983","0","0.0716","0.39","124.578","216067"
"43","How You Remind Me","Nickelback","2002","0gmbgwZ8iqyMPmXefof8Yf","0.446","0.764","-5.042","0.033","0.00135","0","0.099","0.52","172.094","223840"
"44","In da Club","50 Cent","2003","4RY96Asd9IefaL3X4LOLZ8","0.865","0.73","-2.813","0.373","0.283","0","0.0753","0.817","90.096","193467"
"45","Yeah!","Usher featuring Lil Jon and Ludacris","2004","4ECm9N3tUoZCJvQNwsnbw6","0.893","0.787","-4.734","0.11","0.0213","0","0.0345","0.572","105.013","250373"
"46","We Belong Together","Mariah Carey","2005","3LmvfNUQtglbTrydsdIqFU","0.838","0.469","-7.992","0.0835","0.0358","0","0.0928","0.77","139.975","201400"
"47","Bad Day","Daniel Powter","2006","0mUyMawtxj1CJ76kn9gIZK","0.599","0.785","-4.013","0.0309","0.448","0.00336","0.151","0.534","140.046","233640"
"48","Irreplaceable","Beyoncé","2007","1G7DcLzPnopdZjLkev0K4e","0.576","0.697","-4.192","0.326","0.0286","1.15e-06","0.167","0.515","175.906","227667"
"49","Low","Flo Rida featuring T-Pain","2008","1YgODdB10HrX5KT31UWtO2","0.87","0.693","-4.571","0.0593","0.0624","0","0.153","0.37","128.029","229413"
"50","Boom Boom Pow","The Black Eyed Peas","2009","7xRNsqOQOgWbHV1nbXnfXN","0.869","0.851","-6.201","0.0827","0.15","0.000873","0.136","0.382","130.09","251440"
"51","Tik Tok","Kesha","2010","4srpHYFHKjVGRDNHqRpWxi","0.755","0.832","-2.741","0.116","0.0746","1.27e-06","0.291","0.719","120.032","199693"
"52","Rolling in the Deep","Adele","2011","1CkvWZme3pRgbzaxZnTl5X","0.729","0.756","-5.119","0.0294","0.131","0","0.0527","0.523","104.945","228293"
"53","Somebody That I Used to Know","Gotye featuring Kimbra","2012","4VRLGNMTfymoYzD4dLAsNb","0.863","0.512","-6.955","0.0363","0.599","0.000137","0.103","0.735","129.045","244885"
"54","Thrift Shop","Macklemore and Ryan Lewis featuring Wanz","2013","3AYcyxEACnmE6d96RPubID","0.781","0.526","-6.985","0.293","0.0619","0","0.0457","0.662","94.992","235613"
"55","Happy","Pharrell Williams","2014","5b88tNINg4Q4nrRbrCXUmg","0.647","0.822","-4.662","0.183","0.219","0","0.0908","0.962","160.019","232720"
"56","Uptown Funk","Mark Ronson featuring Bruno Mars","2015","2Di2uRvfzpaUK6eMUg9Or2","0.856","0.609","-7.223","0.0824","0.00801","8.15e-05","0.0344","0.928","114.988","269667"
"57","Love Yourself","Justin Bieber","2016","1f8zcJPvJKvxAOjEqM0pyc","0.794","0.375","-10.005","0.337","0.844","0","0.29","0.543","100.071","233720"
"58","Shape of You","Ed Sheeran","2017","7qiZfU4dY1lWllzX7mPBI3","0.825","0.652","-3.183","0.0802","0.581","0","0.0931","0.931","95.977","233713"
"59","Perfect","Ed Sheeran","2018","0tgVpDi06FyKpA1z0VMD4v","0.599","0.448","-6.312","0.0232","0.163","0","0.106","0.168","95.05","263400"
